Measuring voltage and current with INA219 ...
Time, Bus V, Shunt mV, Load V, Current mA, Power mW
7, 3.17, 0.71, 3.17, 7.00, 22.00
112, 3.17, 0.74, 3.17, 6.90, 22.00
218, 3.15, 0.70, 3.15, 7.00, 22.00
323, 3.14, 0.71, 3.14, 7.10, 22.00
428, 3.14, 0.71, 3.14, 7.20, 22.00
533, 3.14, 0.70, 3.14, 7.10, 22.00
638, 3.17, 0.69, 3.17, 7.00, 22.00
744, 3.17, 0.71, 3.17, 7.20, 22.00
849, 3.16, 0.70, 3.16, 7.20, 22.00
955, 3.15, 0.74, 3.15, 7.00, 22.00
1060, 3.13, 0.74, 3.13, 9.70, 62.00
1166, 3.13, 0.20, 3.13, 2.20, 6.00
1271, 3.14, 0.21, 3.14, 2.60, 6.00
1377, 3.18, 0.17, 3.18, 1.60, 6.00
1482, 3.18, 0.16, 3.18, 1.50, 4.00
1588, 3.16, 0.22, 3.16, 2.30, 6.00
1693, 3.15, 0.23, 3.15, 2.60, 6.00
1798, 3.13, 0.17, 3.13, 1.70, 4.00
1903, 3.14, 0.15, 3.14, 1.60, 6.00
2009, 3.14, 0.19, 3.14, 2.20, 6.00
2114, 3.17, 0.24, 3.17, 1.80, 6.00
2220, 3.17, 0.15, 3.17, 1.50, 4.00
2325, 3.17, 0.15, 3.17, 1.90, 6.00
2430, 3.14, 0.18, 3.14, 1.90, 6.00
2536, 3.13, 0.17, 3.13, 1.60, 4.00
2641, 3.13, 0.16, 3.13, 1.40, 4.00
2747, 3.17, 0.18, 3.17, 2.00, 6.00
2852, 3.18, 0.22, 3.18, 2.30, 6.00
2958, 3.17, 0.13, 3.17, 1.50, 4.00
3062, 3.16, 0.15, 3.16, 1.40, 6.00
3168, 3.14, 0.18, 3.14, 2.00, 4.00
3273, 3.14, 0.21, 3.14, 1.90, 6.00
3379, 3.14, 0.16, 3.14, 1.60, 4.00
3484, 3.17, 0.15, 3.17, 1.60, 6.00
3590, 3.17, 0.20, 3.17, 2.20, 6.00
3695, 3.17, 0.18, 3.17, 1.50, 4.00
3801, 3.14, 0.14, 3.14, 1.40, 4.00
3906, 3.13, 0.17, 3.13, 2.10, 6.00
4012, 3.13, 0.19, 3.13, 2.40, 6.00
4117, 3.17, 0.16, 3.17, 1.20, 4.00
4222, 3.18, 0.15, 3.18, 1.70, 6.00
4327, 3.16, 0.20, 3.16, 1.80, 6.00
4432, 3.16, 0.22, 3.16, 1.90, 6.00
4538, 3.13, 0.13, 3.13, 1.30, 4.00
4643, 3.13, 0.17, 3.13, 2.00, 6.00
4749, 3.14, 0.18, 3.14, 1.90, 6.00
4854, 3.17, 0.22, 3.17, 1.60, 6.00
4960, 3.17, 0.17, 3.17, 1.50, 4.00
5065, 3.16, 0.19, 3.16, 1.90, 6.00
5171, 3.13, 0.19, 3.13, 2.10, 6.00
5276, 3.14, 0.15, 3.14, 1.50, 4.00
5382, 3.13, 0.13, 3.13, 1.30, 4.00
5487, 3.17, 0.22, 3.17, 1.90, 6.00
5592, 3.17, 0.21, 3.17, 2.30, 6.00
5697, 3.16, 0.14, 3.16, 1.50, 4.00
5803, 3.15, 0.16, 3.15, 1.60, 6.00
5908, 3.12, 0.18, 3.12, 1.60, 6.00
6013, 3.13, 0.22, 3.13, 1.80, 6.00
6119, 3.16, 0.69, 3.16, 7.00, 22.00
6224, 3.16, 0.72, 3.16, 7.00, 22.00
6330, 3.16, 0.69, 3.16, 7.40, 22.00
6435, 3.16, 0.72, 3.16, 7.20, 22.00
6541, 3.15, 0.72, 3.15, 7.20, 22.00
6646, 3.13, 0.73, 3.13, 7.00, 22.00
6752, 3.12, 0.74, 3.12, 7.00, 22.00
6857, 3.12, 0.71, 3.12, 7.20, 22.00
6963, 3.12, 0.69, 3.12, 7.00, 22.00
7068, 3.16, 0.72, 3.16, 7.10, 22.00
7174, 3.16, 0.73, 3.16, 7.20, 22.00
7279, 3.16, 0.74, 3.16, 7.20, 22.00
7385, 3.16, 0.71, 3.16, 7.10, 22.00
7490, 3.15, 0.73, 3.15, 7.40, 22.00
7596, 3.12, 0.72, 3.12, 7.20, 22.00
7701, 3.12, 0.71, 3.12, 7.10, 22.00
7806, 3.12, 0.67, 3.12, 7.40, 22.00
7912, 3.11, 0.68, 3.11, 6.90, 22.00
8017, 3.16, 0.72, 3.16, 7.40, 22.00
8122, 3.16, 0.72, 3.16, 7.10, 22.00
8227, 3.16, 0.70, 3.16, 7.40, 22.00
8333, 3.16, 0.73, 3.16, 7.00, 22.00
8438, 3.16, 0.71, 3.16, 7.10, 22.00
8544, 3.14, 0.72, 3.14, 7.20, 22.00
8649, 3.11, 0.72, 3.11, 7.40, 22.00
8755, 3.12, 0.74, 3.12, 7.00, 22.00
8860, 3.12, 0.70, 3.12, 7.20, 22.00
8966, 3.16, 0.72, 3.16, 7.10, 22.00
9071, 3.16, 0.72, 3.16, 7.20, 22.00
9177, 3.16, 0.70, 3.16, 7.20, 22.00
9282, 3.16, 0.70, 3.16, 7.00, 22.00
